t,gt_x,gt_y,odom_x,odom_y,ekf_x,ekf_y,ekf_theta,Pxx,Pxy,Pxt,Pyy,Pyt,Ptt,lambda_min,warn
3.66,1.67309,0.9,1.67212,0.898123,1.67573,0.934599,-0.00385598,0.00223946,-4.77728e-06,1.39516e-06,0.00110591,0.000327023,0.000487191,884527,0
3.68,1.68309,0.9,1.68109,0.898131,1.6847,0.934564,-0.00351648,0.00226334,-4.84539e-06,1.41215e-06,0.00111182,0.000331427,0.000489356,884527,0
3.7,1.69309,0.9,1.69081,0.898143,1.69442,0.93453,-0.00296462,0.00229098,-4.91738e-06,1.429e-06,0.0011183,0.000336214,0.000491523,884527,0
3.72,1.70309,0.9,1.70074,0.898159,1.70435,0.9345,-0.00266331,0.00231978,-4.97852e-06,1.44361e-06,0.00112503,0.000341131,0.000493693,856539,0
3.74,1.71309,0.9,1.71057,0.898182,1.71593,0.933997,-0.00202757,0.00220381,-4.59595e-06,1.39264e-06,0.00109337,0.000330725,0.000485862,856539,0
3.76,1.72309,0.9,1.7204,0.898213,1.72576,0.933977,-0.000972167,0.00223206,-4.63285e-06,1.40246e-06,0.00109992,0.000335535,0.000488032,856539,0
3.78,1.73309,0.9,1.73007,0.898253,1.73543,0.933968,-0.00030677,0.00225946,-4.64273e-06,1.40718e-06,0.00110645,0.000340288,0.000490205,856539,0
3.8,1.74309,0.9,1.73999,0.898294,1.74535,0.933965,-0.000977958,0.00228819,-4.63653e-06,1.40881e-06,0.00111325,0.000345186,0.00049238,856539,0
3.82,1.75309,0.9,1.7504,0.898329,1.75577,0.933955,-0.00170625,0.00231966,-4.64906e-06,1.41396e-06,0.0011205,0.000350353,0.000494558,819978,0
3.84,1.76309,0.9,1.76066,0.898362,1.768,0.933432,-0.00159629,0.00220605,-4.27778e-06,1.35941e-06,0.00108941,0.000339791,0.000486538,819978,0
3.86,1.77309,0.9,1.77058,0.898393,1.77791,0.933416,-0.00231641,0.00223476,-4.30467e-06,1.36724e-06,0.0010962,0.000344652,0.000488717,819978,0
3.88,1.78309,0.9,1.78017,0.898421,1.78751,0.933394,-0.00183614,0.00226175,-4.34633e-06,1.37824e-06,0.00110286,0.000349376,0.000490898,819978,0
3.9,1.79309,0.9,1.7898,0.898444,1.79714,0.933376,-0.00343513,0.00228895,-4.37674e-06,1.38705e-06,0.00110963,0.000354142,0.000493081,819978,0
3.92,1.80309,0.9,1.80011,0.898466,1.80954,0.93283,-0.00447424,0.00217929,-4.08154e-06,1.34211e-06,0.00107924,0.000343537,0.000485035,811073,0
3.94,1.81309,0.9,1.81022,0.898494,1.81965,0.932785,-0.00409056,0.00220905,-4.18537e-06,1.36419e-06,0.00108624,0.000348479,0.00048722,811073,0
3.96,1.82309,0.9,1.81932,0.898524,1.82875,0.932747,-0.00352768,0.00223356,-4.26007e-06,1.38247e-06,0.00109262,0.000352952,0.000489406,811073,0
3.98,1.83309,0.9,1.82936,0.898556,1.83879,0.932712,-0.00424751,0.00226293,-4.33714e-06,1.39994e-06,0.00109976,0.000357905,0.000491595,811073,0
