t,gt_x,gt_y,odom_x,odom_y,ekf_x,ekf_y,ekf_theta,Pxx,Pxy,Pxt,Pyy,Pyt,Ptt,lambda_min,warn
2.342,1.09005,0.9,1.09327,0.900419,1.06541,0.938138,0.000455288,0.00221984,-5.10358e-07,1.06937e-07,0.00133342,0.000187809,0.000457398,1.9158e+06,0
2.362,1.10005,0.9,1.1033,0.900437,1.07544,0.938143,-0.00114504,0.00224916,-4.96817e-07,1.04853e-07,0.00133723,0.000192405,0.000459469,1.9158e+06,0
2.382,1.11005,0.9,1.11353,0.90044,1.08568,0.938131,-0.00258229,0.00227961,-5.283e-07,1.10243e-07,0.00134122,0.000197117,0.000461541,1.9158e+06,0
2.402,1.12005,0.9,1.12331,0.900437,1.09545,0.938106,-0.00232535,0.00230755,-5.94283e-07,1.21895e-07,0.00134511,0.000201637,0.000463615,1.9158e+06,0
2.422,1.13005,0.9,1.13341,0.900436,1.10819,0.938047,-0.00236598,0.00219457,-6.06581e-07,1.27593e-07,0.00129819,0.000196265,0.000458539,1.68071e+06,0
2.442,1.14005,0.9,1.14381,0.900436,1.11859,0.938023,-0.00246924,0.00222593,-6.74504e-07,1.38884e-07,0.00130232,0.000201043,0.000460615,1.68071e+06,0
2.462,1.15005,0.9,1.15348,0.90044,1.12826,0.937999,-0.00143113,0.00225334,-7.35937e-07,1.49892e-07,0.00130625,0.000205508,0.000462693,1.68071e+06,0
2.482,1.16005,0.9,1.16383,0.90045,1.1386,0.937984,-0.00141432,0.00228438,-7.75696e-07,1.56749e-07,0.00131055,0.000210303,0.000464772,1.68071e+06,0
2.502,1.17005,0.9,1.17303,0.900466,1.1478,0.937971,0.000224207,0.00230937,-8.06811e-07,1.62805e-07,0.00131446,0.000214589,0.000466852,1.68071e+06,0
2.522,1.18005,0.9,1.18238,0.900491,1.15948,0.937777,0.000104939,0.00219223,-7.28596e-07,1.55084e-07,0.00126954,0.000208418,0.000461553,1.59134e+06,0
2.542,1.19005,0.9,1.19259,0.900515,1.16969,0.937778,-0.000437865,0.00222253,-7.24061e-07,1.54598e-07,0.00127384,0.000213141,0.000463635,1.59134e+06,0
2.562,1.20005,0.9,1.20241,0.900528,1.1795,0.937774,-0.00204819,0.00225068,-7.33935e-07,1.56599e-07,0.00127807,0.000217701,0.00046572,1.59134e+06,0
2.582,1.21005,0.9,1.2125,0.900534,1.18959,0.937753,-0.00194221,0.00228034,-7.88501e-07,1.66236e-07,0.00128251,0.000222412,0.000467805,1.59134e+06,0
2.602,1.22005,0.9,1.22283,0.90054,1.19992,0.937733,-0.00206424,0.0023113,-8.42355e-07,1.7563e-07,0.00128716,0.000227256,0.000469893,1.59134e+06,0
2.622,1.23005,0.9,1.23316,0.900544,1.21312,0.93754,-0.00245631,0.0021991,-8.26908e-07,1.78362e-07,0.00124466,0.000221088,0.000464369,1.50222e+06,0
2.642,1.24005,0.9,1.24289,0.900543,1.22285,0.937516,-0.00348776,0.00222681,-8.87854e-07,1.89471e-07,0.00124901,0.000225618,0.000466459,1.50222e+06,0
2.662,1.25005,0.9,1.25342,0.900536,1.23338,0.93748,-0.00335069,0.00225891,-9.89341e-07,2.06618e-07,0.00125381,0.000230543,0.000468549,1.50222e+06,0
2.682,1.26005,0.9,1.26318,0.900531,1.24314,0.937447,-0.00328201,0.0022868,-1.07308e-06,2.2196e-07,0.00125836,0.00023513,0.000470642,1.50222e+06,0
2.702,1.27005,0.9,1.27387,0.900524,1.25383,0.937412,-0.00353176,0.0023198,-1.17058e-06,2.38487e-07,0.00126344,0.000240174,0.000472736,1.50222e+06,0
2.722,1.28005,0.9,1.28382,0.900513,1.26685,0.937164,-0.00446602,0.00220447,-1.15827e-06,2.45204e-07,0.0012225,0.000233365,0.000466982,1.43356e+06,0
2.742,1.29005,0.9,1.29339,0.900497,1.27642,0.937121,-0.00487608,0.00223137,-1.26587e-06,2.65187e-07,0.00122701,0.000237849,0.000469078,1.43356e+06,0
2.762,1.30005,0.9,1.30353,0.900478,1.28656,0.937071,-0.00500179,0.00226132,-1.3972e-06,2.88413e-07,0.00123189,0.000242622,0.000471176,1.43356e+06,0
2.782,1.31005,0.9,1.3134,0.900453,1.29643,0.937022,-0.00602402,0.00228976,-1.52444e-06,3.11693e-07,0.00123672,0.000247286,0.000473275,1.43356e+06,0
2.802,1.32005,0.9,1.32418,0.90042,1.30721,0.936957,-0.00610579,0.00232329,-1.70665e-06,3.42456e-07,0.00124211,0.000252404,0.000475376,1.43356e+06,0
2.822,1.33005,0.9,1.33384,0.900391,1.31969,0.936663,-0.00617901,0.00220603,-1.70211e-06,3.56315e-07,0.00120256,0.000245028,0.000469396,1.38573e+06,0
2.842,1.34005,0.9,1.34321,0.900364,1.32905,0.936605,-0.00595341,0.00223186,-1.84393e-06,3.83507e-07,0.00120719,0.000249439,0.000471499,1.38573e+06,0
2.862,1.35005,0.9,1.35398,0.900332,1.33983,0.936541,-0.00626094,0.00226535,-2.02287e-06,4.13788e-07,0.00121262,0.000254536,0.000473604,1.38573e+06,0
2.882,1.36005,0.9,1.36387,0.900303,1.34971,0.936479,-0.00600749,0.0022939,-2.18147e-06,4.43142e-07,0.0012177,0.000259234,0.00047571,1.38573e+06,0
2.902,1.37005,0.9,1.37341,0.900275,1.35926,0.936422,-0.00623941,0.00232064,-2.32279e-06,4.70457e-07,0.00122269,0.000263791,0.000477819,1.38573e+06,0
2.922,1.38005,0.9,1.38345,0.900246,1.37246,0.936106,-0.00626152,0.0022057,-2.27603e-06,4.81315e-07,0.00118468,0.000256196,0.000471622,1.32563e+06,0
2.942,1.39005,0.9,1.39362,0.900216,1.38263,0.936042,-0.00636474,0.0022358,-2.44295e-06,5.11401e-07,0.00118995,0.000261011,0.000473732,1.32563e+06,0
2.962,1.40005,0.9,1.4035,0.900191,1.39252,0.935979,-0.00559018,0.00226434,-2.60286e-06,5.41257e-07,0.00119515,0.000265712,0.000475844,1.32563e+06,0
2.982,1.41005,0.9,1.41337,0.900172,1.40238,0.935924,-0.00491948,0.00229278,-2.74159e-06,5.67554e-07,0.00120044,0.000270424,0.000477957,1.32563e+06,0
3.002,1.42005,0.9,1.42308,0.900162,1.41209,0.935877,-0.00395306,0.0023204,-2.85884e-06,5.90446e-07,0.00120574,0.000275085,0.000480073,1.32563e+06,0
3.022,1.43005,0.9,1.43326,0.900155,1.42227,0.935836,-0.00432002,0.00235051,-2.96058e-06,6.09813e-07,0.00121139,0.000279989,0.00048219,1.32563e+06,0
3.042,1.44005,0.9,1.4433,0.90014,1.43231,0.935793,-0.00540447,0.00237989,-3.06901e-06,6.30787e-07,0.00121706,0.00028485,0.000484309,1.32563e+06,0
3.062,1.45005,0.9,1.45302,0.900122,1.44357,0.935467,-0.00536307,0.00225605,-2.91641e-06,6.30936e-07,0.00117935,0.000276181,0.000477638,1.28369e+06,0
3.082,1.46005,0.9,1.46355,0.9001,1.4541,0.93541,-0.00603372,0.00228817,-3.06611e-06,6.57985e-07,0.00118523,0.000281233,0.000479759,1.28369e+06,0
3.102,1.47005,0.9,1.47361,0.900074,1.46415,0.935349,-0.0063259,0.00231761,-3.21981e-06,6.87153e-07,0.00119093,0.000286076,0.000481882,1.28369e+06,0
3.122,1.48005,0.9,1.48343,0.900046,1.47723,0.935003,-0.00677988,0.00220188,-3.08573e-06,6.89757e-07,0.00115499,0.000277589,0.00047526,1.21217e+06,0
3.142,1.49005,0.9,1.49389,0.900018,1.48769,0.934932,-0.00631742,0.00223357,-3.27334e-06,7.23531e-07,0.00116085,0.000282581,0.000477384,1.21217e+06,0
3.162,1.50005,0.9,1.50399,0.899987,1.49778,0.934868,-0.00748414,0.00226326,-3.4353e-06,7.54064e-07,0.00116661,0.000287423,0.000479511,1.21217e+06,0
3.182,1.51005,0.9,1.51358,0.899951,1.50738,0.934797,-0.00758472,0.00229028,-3.60932e-06,7.88585e-07,0.00117217,0.000292047,0.000481639,1.21217e+06,0
3.202,1.52005,0.9,1.5237,0.899915,1.5175,0.93472,-0.00730304,0.00232009,-3.8046e-06,8.25634e-07,0.00117813,0.000296943,0.000483769,1.21217e+06,0
3.222,1.53005,0.9,1.53329,0.89988,1.53027,0.934381,-0.00769913,0.00220282,-3.6324e-06,8.26922e-07,0.00114292,0.00028795,0.000476932,1.14021e+06,0
3.242,1.54005,0.9,1.54331,0.899843,1.54029,0.934303,-0.00773504,0.00223209,-3.82688e-06,8.63807e-07,0.00114874,0.000292751,0.000479064,1.14021e+06,0
3.262,1.55005,0.9,1.55305,0.89981,1.55003,0.934228,-0.00719983,0.00225986,-4.01083e-06,8.99991e-07,0.00115449,0.00029744,0.000481198,1.14021e+06,0
3.282,1.56005,0.9,1.56315,0.899773,1.56013,0.934155,-0.00820169,0.00228959,-4.19378e-06,9.35101e-07,0.00116055,0.000302326,0.000483333,1.14021e+06,0
