t,gt_x,gt_y,odom_x,odom_y,ekf_x,ekf_y,ekf_theta,Pxx,Pxy,Pxt,Pyy,Pyt,Ptt,lambda_min,warn
4.246,1.81103,0.9,1.81715,0.898014,1.82496,0.929924,-0.0148635,0.00225114,-9.89092e-06,2.42056e-06,0.00110234,0.000346004,0.000483785,805786,0
4.266,1.82103,0.9,1.82674,0.897941,1.83454,0.929781,-0.0140758,0.00227811,-1.02187e-05,2.48984e-06,0.00110903,0.000350677,0.000485961,805786,0
4.286,1.83103,0.9,1.83696,0.897862,1.84477,0.929637,-0.0147522,0.00230849,-1.05696e-05,2.56012e-06,0.00111625,0.000355681,0.000488139,805786,0
4.306,1.84103,0.9,1.84655,0.897786,1.85435,0.929496,-0.0147467,0.00233545,-1.08918e-05,2.62951e-06,0.00112312,0.000360397,0.000490319,805786,0
4.326,1.85103,0.9,1.85682,0.8977,1.86643,0.929101,-0.0155633,0.00222001,-1.02908e-05,2.60466e-06,0.0010919,0.000349371,0.000482227,778712,0
4.346,1.86103,0.9,1.86591,0.897619,1.87552,0.92896,-0.0156193,0.00224445,-1.05974e-05,2.67323e-06,0.00109829,0.00035379,0.000484408,778712,0
4.366,1.87103,0.9,1.87622,0.897533,1.88583,0.928799,-0.0145889,0.00227528,-1.09938e-05,2.7516e-06,0.00110564,0.00035882,0.000486592,778712,0
4.386,1.88103,0.9,1.88643,0.897454,1.89605,0.92865,-0.0142633,0.00230563,-1.13542e-05,2.82455e-06,0.00111303,0.000363832,0.000488778,778712,0
4.406,1.89103,0.9,1.89676,0.897377,1.90637,0.928503,-0.0141455,0.00233656,-1.17119e-05,2.89692e-06,0.0011206,0.000368917,0.000490966,778712,0
4.426,1.90103,0.9,1.90635,0.89731,1.91773,0.928133,-0.0134442,0.00221732,-1.09735e-05,2.85456e-06,0.00108905,0.000357212,0.000482697,759390,0
4.446,1.91103,0.9,1.91656,0.897245,1.92793,0.927996,-0.012783,0.0022476,-1.13018e-05,2.92121e-06,0.00109639,0.000362178,0.000484886,759390,0
4.466,1.92103,0.9,1.92615,0.897187,1.93753,0.927874,-0.0127694,0.00227461,-1.1574e-05,2.9811e-06,0.00110339,0.00036687,0.000487078,759390,0
